author, day, timestamp, id, title
DinaFelice,Fri, 02 Jul 2010 11:11:51 +0000,40589523,RT @tami24: RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
popcorn2012,Fri, 02 Jul 2010 07:08:58 +0000,63718313,No equality without creativity #TinyDeclaration
civicdirect,Fri, 02 Jul 2010 06:31:54 +0000,53569967,Civic Action: King George: lifeCOMMA libertyCOMMA and the pursuit of happiness #TinyDeclaration http://ow.ly/17Y8Ks
civicdirect,Fri, 02 Jul 2010 06:02:43 +0000,53569967,Civic Action: King George: lifeCOMMA libertyCOMMA and the pursuit of happiness #TinyDeclaration: OtherwiseCOMMA we\u2019re... http://bit.ly/byIkuj #Petition
Smittmaestro,Fri, 02 Jul 2010 05:45:21 +0000,576758,#TinyDeclaration Hey King George This being your colony thing ain't workin for us! So get lost!
StickeeNotes,Fri, 02 Jul 2010 05:41:23 +0000,18526453,RT @someGit: WhenCOMMA in the course of human eventsCOMMA restraining orders aren't enoughCOMMA it becomes necessary to put large boots in some ass #TinyDeclaration
StickeeNotes,Fri, 02 Jul 2010 05:40:16 +0000,18526453,RT @tami24: RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
ajcenac,Fri, 02 Jul 2010 04:25:46 +0000,22971146,RT @LenTesta: Inalienable:lifeCOMMAlibertyCOMMApursue happiness. Injurious:taxes w/o repsCOMMA king's whims. ThxsCOMMABrits-we got it from here. &lt;3 USofA #TinyDeclaration
Boston1775,Fri, 02 Jul 2010 04:11:28 +0000,33828971,RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
CatRey,Fri, 02 Jul 2010 04:06:21 +0000,1688610,Hey @KingGeorge3  Don't tax meCOMMA bro!  #tinydeclaration
stoopidnoodle,Fri, 02 Jul 2010 03:31:54 +0000,80668278,RT @patrickbotts: #TinyDeclaration I think it's time we see other peopleCOMMA you crazy bitch.
stoopidnoodle,Fri, 02 Jul 2010 03:20:21 +0000,80668278,RT @tami24: RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
jmadelman,Fri, 02 Jul 2010 03:19:47 +0000,91754839,RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
eccecattus,Fri, 02 Jul 2010 03:09:15 +0000,14509852,@britishtyrant Public Good: ur doing it unenlightened. All your colony are belong to us. Self-evident: you'll lose the war. #TinyDeclaration
KatieBaby79,Fri, 02 Jul 2010 02:52:54 +0000,55509756,RT @tami24: RT @NEHgov T.J's rough draft: Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
yahelc,Fri, 02 Jul 2010 02:34:59 +0000,1226375,RT @jgilliam: petition @KingGeorge3 for lifeCOMMA libertyCOMMA and the pursuit of happiness #TinyDeclaration http://act.ly/251 RT to sign #actly
amelieanomaly,Fri, 02 Jul 2010 02:24:55 +0000,112603891,RT @jmadelman: RT @NEHgov Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
jmadelman,Fri, 02 Jul 2010 01:56:09 +0000,91754839,RT @NEHgov Dear GeorgeCOMMA it's not you. It's U.S. #TinyDeclaration
mrey7,Fri, 02 Jul 2010 01:50:23 +0000,81061592,RT @CatRey: #FollowFriday 13 Free &amp; Independent States @ThJefferson @SamAdams @BenFranklin @CaesarRodney @Penn @JOHNHANCOCK @GeoClymer #tinydeclaration
prmros,Fri, 02 Jul 2010 01:48:14 +0000,19889203,RT @TheIncumbent: @TheRealKingGeorgeIII We're closing our @13colonies acct. We're now @USofA. PS ur off our #ff list. #TinyDeclaration
prmros,Fri, 02 Jul 2010 01:46:22 +0000,19889203,RT @ToddHouse: RT @ApocalypseHow: Bye GeorgeCOMMA we've got it. #TinyDeclaration
prmros,Fri, 02 Jul 2010 01:45:01 +0000,19889203,RT @jsench: Really hope we don't have to fight over domination of trade routes and fungible natural resources again in 1812 #TinyDeclaration
CatRey,Fri, 02 Jul 2010 01:44:14 +0000,1688610,#FollowFriday 13 Free &amp; Independent States @ThJefferson @SamAdams @BenFranklin @CaesarRodney @Penn @JOHNHANCOCK @GeoClymer #tinydeclaration
MicahTillman,Fri, 02 Jul 2010 01:43:21 +0000,112930456,Hey WorldCOMMA remember John Locke's &quot;Second Treatise of Civil Government&quot;? WellCOMMA it says King George isn't our king anymore. #TinyDeclaration
Albatross117,Fri, 02 Jul 2010 01:28:00 +0000,13771071,RT @chriswilsondc: The @NewsRealBlog quite humorless over the Tweet the Declaration contest http://bit.ly/bZ2asS #tinydeclaration #tinybrain
historianess,Fri, 02 Jul 2010 01:17:43 +0000,115003103,RT @markjenssen: GeorgeCOMMA long distance isn't working for me--we've grown apart. I think it's time to start trading with other countries. #TinyDeclaration
SueWhitt,Fri, 02 Jul 2010 00:16:28 +0000,16557318,RT @TheIncumbent: @TheRealKingGeorgeIII We're closing our @13colonies account. We're now @USofA. PS ur off our #ff list. #taxationFAIL #TinyDeclaration
SueWhitt,Fri, 02 Jul 2010 00:16:02 +0000,16557318,RT @harbatkat: We hold these truths to be self-evidentCOMMA that all men are created equal -- wellCOMMA some men. And no women. #TinyDeclaration
strandsofcolor,Fri, 02 Jul 2010 00:07:10 +0000,106509454,RT @harbatkat: We hold these truths to be self-evidentCOMMA that all men are created equal -- wellCOMMA some men. And no women. #TinyDeclaration
strandsofcolor,Fri, 02 Jul 2010 00:05:40 +0000,106509454,RT @Jamesbarnes: All white men are created =. We reject the authority of the king due to him being a jerk. Text 1776 to vote for Washington. #TinyDeclaration
strandsofcolor,Fri, 02 Jul 2010 00:05:28 +0000,106509454,RT @TheIncumbent: @TheRealKingGeorgeIII We're closing our @13colonies account. We're now @USofA. PS ur off our #ff list. #taxationFAIL #TinyDeclaration
prmros,Thu, 01 Jul 2010 23:40:28 +0000,19889203,RT @slate: Reduce the Declaration of Independence to a single tweet http://slate.me/cs6Fry #TinyDeclaration
NewBusinessHawk,Thu, 01 Jul 2010 22:23:35 +0000,75045083,We're equalCOMMA free and have rights so when gov becomes the prob time for a new gov! GeorgeCOMMA you're fired! We be independent! #TinyDeclaration
VirginiaTweetup,Thu, 01 Jul 2010 22:18:30 +0000,110107990,#TinyDeclaration: A Slate Twitter contest for the Fourth of July. - - Slate Magazine http://ow.ly/261e1
LaVenusBallard,Thu, 01 Jul 2010 22:18:29 +0000,9006905,#TinyDeclaration: A Slate Twitter contest for the Fourth of July. - - Slate Magazine http://ow.ly/261dd
